subject_id,n_obs_B,RMSE_B,NRMSE_B,R2_B,n_obs_H,RMSE_H,NRMSE_H,R2_H,r_M,gamma,sigma_F,sigma_A,p_max,s_B,a_B
H4006,6.0,1.611376405870046,1.3271761087518585,-0.7613964236417254,2.0,8.00541281125701,8.00541281125701,-63.08663427863786,0.05000000000000001,9.742387451672015e-15,1.4999999999999802,8.300056734458851e-15,4.9999999999246905,0.05000000000000481,4.999999999999999
H4007,5.0,1.437184625679493,4.568323522390101,-19.869579805222692,5.0,6.772275535576748,6.772275535576749,-44.86371592977133,1.962756359812485,0.37704463904703805,0.009212157550685295,1.4925,0.4572467762411746,0.2777738201348729,4.999995187673698
H4008,6.0,1.5017886832194816,7.854922255267862,-60.69980363630237,0.0,,,,0.050071511182237974,0.6299249614029373,1.4987096544480007,1.4925000000000042,0.32945741644599175,0.35470027854861763,4.999616606992281
H4009,6.0,1.2398954914958285,8.292081572109653,-67.75861679852048,0.0,,,,0.050000000002617735,6.17897934259548e-11,1.4999999996231979,1.4945434702642422,0.30000000030742946,0.29481794623697816,4.999999999439126
H4010,7.0,1.5328275480763363,5.537799761131951,-29.667226194393084,3.0,0.973309034262646,0.973309034262646,0.05266952382271539,0.3611328165090413,0.477024752344981,0.2631761339954477,1.4925000000000002,4.826542112349263,0.27138302818286575,4.996921008413016
H4013,5.0,1.6548566824400728,12.241620658609458,-148.8572763492939,0.0,,,,0.05000000000000001,9.838526496142684e-26,1.4999999999999998,5.341997635422493e-22,4.9561132788556,0.40236634280303374,4.999999999999999
H4014,6.0,1.7903333882022856,12.284145684831788,-149.90023520617146,3.0,2.0108292399533916,2.0108292399533916,-3.043434232251533,0.4388566714778583,0.4553140627339278,0.12402513792636574,1.4925,0.3789712414675013,0.2898206643436443,4.999862686236396
H4015,6.0,1.5960856889074446,1.8271812639978475,-2.338591371504771,4.0,3.1286396523913376,3.128639652391338,-8.788386074515392,0.12386859696024764,1.433526455595519,0.0886269605034622,1.1812571175551194,2.118678433591691,0.27321073394208584,4.999976616204539
H4016,6.0,1.229151619566045,4.105680405330198,-15.856611590712344,0.0,,,,0.05001137026812409,1.9995233216139894,1.4999890829444014,1.4925,4.998146521233854,0.35569158079797497,4.999878874278654
H4017,4.0,1.2868043758797543,1.6759655664629212,-1.8088605799693807,4.0,0.8875378412366203,0.8875378412366204,0.21227658037303954,1.6097630397030214,6.084726045592913e-05,0.00026989407232918633,1.4993506449776166,0.3002450589452817,0.2732528613720718,4.999999999999999
H4018,6.0,1.2757311107486313,5.853415923189737,-33.26247796985117,0.0,,,,0.05000000000000001,1.4074259513213712,1.4999999988119384,0.4470605754253517,0.3038661140926411,0.3149929401091106,4.999999999999976
H4019,6.0,1.5174321119120158,3.675807564236759,-12.511561249300174,5.0,1.1227566987818915,1.1227566987818918,-0.2605826046596116,0.12932706981579087,0.255017263729397,0.574242805012425,4.0367496005210496e-08,4.999998668139114,0.18158146354466737,4.999999999999999
H4020,5.0,1.6962707938627684,16.036626790833356,-256.17339882847415,4.0,3.065793321999585,3.0657933219995854,-8.399088693217251,0.47654000587855216,0.44397289558870906,0.0005740315555854835,1.4925000000000004,0.30129319341821886,0.2611006442947024,4.999999999999973
H4022,5.0,1.274146774254794,5.1034463531844345,-25.045164679831505,0.0,,,,0.05000000008228328,1.9669899665155914,1.4999999999767886,1.1560503100231903,4.999999999625301,0.3591102388076032,4.99999999666458
H4023,5.0,1.6216171028125832,10.619292392921855,-111.76937092636798,0.0,,,,0.050000000000001134,5.748219335608162e-17,1.4999999999999998,0.7770294558427548,0.30000000000000004,0.36914840826461104,4.9999999999999964
H4024,4.0,0.7029377180008874,2.4185024395384267,-4.84915405005332,0.0,,,,0.05000000000000001,3.2275950280673186e-27,1.4999999999999998,0.2164009223195086,0.36803406807987715,0.18666111967158808,4.999999999999999
H4027,5.0,1.3497685056249216,5.484847363326384,-29.083550598988396,4.0,1.0200388210702134,1.0200388210702134,-0.04047919649031062,0.5421142593150043,0.6321588738544933,0.09319600058883003,0.8193781892035191,4.992646866401358,0.2510905185663316,4.999999999999391
H4030,5.0,1.0365219742972331,1.751415841430256,-2.067457449612851,0.0,,,,0.05000000000000001,1.9999999999999998,1.4999999999999998,1.0231386400098006,4.999999999999999,0.28897322048347285,4.999999999999999
H4031,5.0,1.4631586157611367,14.583160024180472,-211.6685562908554,2.0,9.083401081619781,9.083401081619781,-81.5081752095714,0.05000000041883608,7.657474332366608e-11,1.4999999984202115,4.096782158815043e-10,4.9998185405343,0.3816573527618242,4.99999999531559
H4032,5.0,1.1713794269396711,2.9417210148521664,-7.6537225292228594,0.0,,,,0.05000000012164164,0.39871294928610934,1.4999984563005062,1.4038486246660312e-05,0.4655385848292335,0.4266554894668781,4.999999692399142
H4035,7.0,1.676080777835089,4.856289065330202,-22.58354348604568,6.0,4.415832732429608,4.4158327324296085,-18.499578720796737,0.47027546494928757,0.8061621074963391,0.29958678580551007,0.24389963905425835,2.343105564069996,0.2165856432153183,4.999999999719145
H4038,6.0,1.1266939623130514,3.8596370627335284,-13.896798256026297,2.0,9.447184927083033,9.447184927083033,-88.24930304650485,0.05000000000000001,4.621454154861214e-31,1.4999999999999998,1.2909209526338205e-32,4.979027417525764,0.30313852667580005,4.999999999999999
H4039,4.0,1.4702799069735228,1.6274955053683082,-1.6487416199940448,1.0,0.5,,,0.05000000000000001,3.0432750217650157e-19,1.4999999999999998,5.68380313804355e-19,3.972001918455973,0.0500000000000047,4.999999999999999
H4040,4.0,1.2968740826339753,9.813327739569697,-95.30140132420809,1.0,11.57720215993152,,,0.05000000000154531,1.5470719900405592e-13,1.4999999999994502,1.4995750761129014,0.3000000000010893,0.290150055459789,4.999999999992526
H4042,4.0,1.724957733960757,14.031843971526055,-195.89264524125207,4.0,5.959374740086956,5.959374740086956,-34.51414729278646,0.05000000000000014,1.9999999999999998,2.910241584257745e-16,1.4999999999999998,4.99971313533369,0.2944902672098549,4.999999999999999
H4043,5.0,1.329002533891518,3.2793716630565304,-9.754278504458156,4.0,0.8702408146998107,0.8702408146998107,0.24268092443060973,0.4069401139045341,0.3829368515640784,0.10223936817299441,1.4924999999999984,0.8573711754134682,0.27982346740317143,4.999999983419375
H4045,6.0,1.4302583293853857,4.513507033324378,-19.37174573986863,0.0,,,,0.0500000000032754,5.208718957240525e-13,1.4999999999987197,1.4998194223557246,4.999999999995048,0.40271369000734186,4.999999999992698
M2008,6.0,1.491084319614577,4.774537243999762,-21.796205894340847,6.0,0.7383371979949903,0.7383371979949903,0.4548581820569064,0.594654584336331,0.5851357530323636,3.7101271664915874e-09,0.4992905653635513,4.999999999999999,0.18264253436371047,4.999999999999999
M2014,6.0,1.5588413658758768,13.032391296778485,-168.84322291234756,4.0,5.788316970152991,5.788316970152992,-32.50461334696111,0.1039601502959155,1.999781922113595,1.4967572569778935,1.2178170209271788,4.996580990560638,0.3458612511169674,4.9999986319254095
M2021,4.0,1.375175662297803,11.277703960127049,-126.18660661226531,4.0,5.422162016674825,5.422162016674825,-28.39984093507121,0.4964568024475915,1.9972523125954778,1.4837486673921476,1.402304459355381,4.988708952936334,0.29622993020246685,4.999994334524604
M2025,5.0,1.4176349784521058,4.487192474541316,-19.13489630358022,4.0,0.9133166041107795,0.9133166041107796,0.16585278065555342,0.5092889160716277,0.4892746956618314,0.1650706022321355,0.08749477474068244,4.999576868124071,0.3178429754288701,4.99999748701123
M2026,5.0,1.542416829729188,8.681621446182126,-74.37055093480942,2.0,7.905682412999713,7.905682412999713,-61.49981441521297,0.05000000000000001,1.9999999999999998,1.4999999999999998,2.0329089768495667e-21,4.999990722393968,0.36290369001506945,4.999999999999999
M2027,5.0,1.439993798149992,31.484439614090295,-990.2699378132982,2.0,12.350847577329004,,,0.050000000000848456,1.4692085241273476,1.499999995193184,0.007500000000009261,4.999901082142881,0.3906215222938896,4.999999999751444
M2028,5.0,1.3247372966158633,9.068138219918335,-81.23113077554369,5.0,1.8596382499462052,1.8596382499462052,-2.458254420662984,0.1000563676733265,1.6369400148371727,0.00149818890465078,0.07802069107442597,0.3110268302505406,0.23540624239686483,4.999999999974122
M2034,5.0,1.4203775874121372,1.8509074885486472,-2.4258585311654604,4.0,1.3585221587519374,1.3585221587519376,-0.8455824558200249,0.05314296865978511,1.9832263796688527,0.0020751175527325104,0.002373203454004077,0.3235382153306648,0.050000031777169954,4.999993830387948
M2039,5.0,1.2988587895530057,8.418863230151164,-69.87725808799128,0.0,,,,0.05000000032959582,1.999930323034733,1.4999995155869892,1.4925,0.30000069254512063,0.36860324053063537,4.99999976751065
M2041,5.0,1.1677824353799517,3.902646548551236,-14.230650082918876,0.0,,,,0.050000002338902914,1.9999999983297603,1.4999999993013997,0.23900408140292217,4.999997227150063,0.3549466640522649,4.9999999771446175
