t,d,M,H,B,q,H_var,H_ac1
236.0,0.14686666666666665,1.408999911271019,0.9142839110097177,2.3460645121172465,0.0,3.9904645118477435e-06,0.4817628705339002
236.5,0.14700833333333332,1.408999914659616,0.9166542960196947,2.346296249874721,0.0,3.988894943194366e-06,0.47312356665536043
237.0,0.14715,1.4089999179188009,0.9151258710013508,2.3458972409783203,0.0,4.034692201594832e-06,0.47317160594928476
237.5,0.14729166666666665,1.4089999210535162,0.9166985239762618,2.3459861672985984,0.0,4.031871131216632e-06,0.46971423623026143
238.0,0.14743333333333333,1.4089999240685154,0.9146395819757934,2.3456761301342928,0.0,4.08160966253514e-06,0.470735429161254
238.5,0.147575,1.4089999269683706,0.9130906831336155,2.3459703910002703,0.0,4.3961488480120206e-06,0.4996379577539343
239.0,0.14771666666666666,1.4089999297574791,0.9110390630853499,2.3466158279924416,0.0,4.857964278787833e-06,0.5662866906820383
239.5,0.1478583333333333,1.4089999324400704,0.9173814190696282,2.3476681670555033,0.0,4.884496156064359e-06,0.4930860288507977
240.0,0.148,1.4089999350202125,0.9161589937100844,2.346914072827862,0.0,4.842810579182705e-06,0.4891302008834226
240.5,0.14814166666666667,1.4089999375018178,0.9166316656775819,2.3466428128635077,0.0,4.8352605860021736e-06,0.49079161103590546
241.0,0.14828333333333332,1.4089999398886497,0.9162776655872382,2.3463255193198242,0.0,4.8308275597952006e-06,0.5069111311989951
241.5,0.14842499999999997,1.4089999421843273,0.916442752792911,2.346181317751805,0.0,4.641976878099861e-06,0.4970971931670405
242.0,0.14856666666666668,1.408999944392332,0.9162664053297818,2.3460431085125086,0.0,4.580510865817837e-06,0.49293457345235786
242.5,0.14870833333333333,1.4089999465160121,0.9198574635899971,2.345996265866993,0.0,4.287284727211151e-06,0.4503169883641619
243.0,0.14884999999999998,1.408999948558588,0.9157173668929904,2.3450667296512697,0.0,4.178286749789952e-06,0.3996713034057411
243.5,0.14899166666666666,1.4089999505231572,0.9125670852762537,2.3453956117801247,0.0,4.250640268466297e-06,0.36739914250321065
244.0,0.14913333333333334,1.4089999524126986,0.912055225074901,2.346474492044916,0.0,4.484842222722393e-06,0.41106542084280845
244.5,0.149275,1.4089999542300775,0.9111325325274762,2.347480766937123,0.0,5.005601193640512e-06,0.4632254252101297
245.0,0.14941666666666664,1.40899995597805,0.9148130013890668,2.3485334929093846,0.0,4.789048323077605e-06,0.4330713831360444
245.5,0.14955833333333332,1.4089999576592667,0.9167721980915177,2.348455770055017,0.0,4.66420524624604e-06,0.3959108175655858
246.0,0.1497,1.408999959276277,0.9141483154115317,2.347915561465806,0.0,4.342126912355343e-06,0.33863832828334406
246.5,0.14984166666666665,1.4089999608315331,0.9119387731138145,2.3481694778025477,0.0,4.37700997408155e-06,0.34724144789733663
247.0,0.14998333333333333,1.4089999623273932,0.9128758793133436,2.3489500128473826,0.0,4.4999669608646145e-06,0.3716266265524236
247.5,0.150125,1.408999963766126,0.9168089308121532,2.3493515793533977,0.0,4.505423968613153e-06,0.3280396567221594
248.0,0.15026666666666666,1.4089999651499128,0.910316976062384,2.3486923029539124,0.0,4.957501070293217e-06,0.22436136963765868
248.5,0.1504083333333333,1.4089999664808521,0.9137290486073562,2.3498319800287795,0.0,4.4687909448790504e-06,0.20606410922797114
249.0,0.15055,1.4089999677609624,0.9122035649505846,2.3498918246348226,0.0,4.545837511546791e-06,0.19778341794961798
249.5,0.15069166666666667,1.4089999689921848,0.9156403102813432,2.3503444491316716,0.0,4.4256107531541566e-06,0.19498729784797386
250.0,0.15083333333333332,1.4089999701763862,0.9130861304473874,2.3498517509711014,0.0,4.473950055079328e-06,0.19913825482464526
250.5,0.150975,1.4089999713153625,0.9133557748586044,2.350125508706093,0.0,4.380630414794851e-06,0.20633621314625117
251.0,0.15111666666666668,1.4089999724108409,0.9110159104316808,2.3502932655767945,0.0,4.6959955076983815e-06,0.23064655192110312
251.5,0.15125833333333333,1.4089999734644825,0.9108743045305213,2.3510380468749315,0.0,4.9347049235173175e-06,0.2899646846797247
252.0,0.15139999999999998,1.408999974477885,0.9155037891344635,2.3516846981828836,0.0,4.959372408257214e-06,0.2628531953743635
252.5,0.15154166666666666,1.4089999754525853,0.9166520409687512,2.3510443190920647,0.0,4.719371173024661e-06,0.27729957074677136
253.0,0.15168333333333334,1.4089999763900614,0.9147351275802624,2.3502624045233578,0.0,4.720575428158638e-06,0.2783770574529153
253.5,0.151825,1.4089999772917348,0.9127966667779711,2.350144385614756,0.0,4.77460767551146e-06,0.27196427283860003
254.0,0.15196666666666667,1.408999978158973,0.9097460300096105,2.350559929091928,0.0,5.315770341829836e-06,0.2922053264565797
254.5,0.15210833333333335,1.408999978993091,0.9111962511513265,2.351681720087717,0.0,5.5280922635661315e-06,0.3501843010305109
255.0,0.15225,1.4089999797953536,0.9126229942125276,2.352224990346743,0.0,5.532151577320543e-06,0.3616605266188125
255.5,0.15239166666666665,1.4089999805669775,0.9131984625518571,2.3523140564949863,0.0,5.549302334035805e-06,0.36577276873414083
256.0,0.15253333333333333,1.4089999813091327,0.9134307370004924,2.352257483667656,0.0,5.561696807652455e-06,0.371791148721871
256.5,0.152675,1.4089999820229449,0.9114535933859468,2.3521719950127116,0.0,5.564628356913808e-06,0.36726815372225474
257.0,0.15281666666666666,1.4089999827094961,0.9125428818797903,2.352623079733077,0.0,5.582280629057791e-06,0.3697932055971444
257.5,0.1529583333333333,1.4089999833698277,0.9131105146626973,2.3527243790903767,0.0,5.39570112354831e-06,0.36926769256381053
258.0,0.15309999999999999,1.408999984004941,0.9160169788043144,2.352679559797859,0.0,5.499211446001337e-06,0.3612671194392706
258.5,0.15324166666666666,1.408999984615799,0.9185800828745422,2.3519263622739746,0.0,6.030325735411042e-06,0.38251548873321517
259.0,0.15338333333333332,1.4089999852033281,0.9158032142650406,2.3506967614160157,0.0,5.870119324120759e-06,0.45848132323197205
259.5,0.153525,1.4089999857684192,0.9131092407532676,2.350439841690035,0.0,5.615474347139736e-06,0.4308105578580657
260.0,0.15366666666666667,1.4089999863119294,0.9131307866046702,2.350935756085635,0.0,5.51404948427966e-06,0.41747238056827995
260.5,0.15380833333333332,1.4089999868346825,0.9120268385166307,2.3513431733206858,0.0,5.4118233615443635e-06,0.4018806055566421
261.0,0.15394999999999998,1.4089999873374714,0.9111769710069305,2.3519650914507197,0.0,5.424305463073889e-06,0.3952226380400867
261.5,0.15409166666666665,1.4089999878210588,0.9120937673843411,2.3526933388059654,0.0,5.287960620453467e-06,0.3835645242590878
262.0,0.15423333333333333,1.4089999882861777,0.9105546668125788,2.353058977605212,0.0,5.323291783000686e-06,0.3540478623920635
262.5,0.15437499999999998,1.4089999887335334,0.9130562801608207,2.353757779590566,0.0,4.248312087518851e-06,0.30155882604994644
263.0,0.15451666666666666,1.4089999891638045,0.9128548902047593,2.3536989096202983,0.0,4.096794826565844e-06,0.3181612770217802
263.5,0.15465833333333334,1.4089999895776435,0.9134257455271642,2.353721387836747,0.0,4.0865575246472726e-06,0.31444884225542147
264.0,0.1548,1.4089999899756778,0.9128083445024455,2.35361316718258,0.0,4.054993520579941e-06,0.3032275913001016
264.5,0.15494166666666664,1.4089999903585109,0.9113750031918675,2.353701642225316,0.0,4.030028657506072e-06,0.3339410453010677
265.0,0.15508333333333332,1.4089999907267234,0.9101854492520606,2.354153057891623,0.0,4.197915236524319e-06,0.3374638529777995
265.5,0.155225,1.4089999910808737,0.9109849890678181,2.354831541888407,0.0,3.959868917083341e-06,0.35167285978369445
266.0,0.15536666666666665,1.4089999914214988,0.910733139024442,2.3551873744284824,0.0,4.051069802071003e-06,0.38063932620998564
266.5,0.15550833333333333,1.4089999917491154,0.9121420430487218,2.355552533513679,0.0,4.041887110803613e-06,0.38595278876711203
267.0,0.15565,1.4089999920642202,0.9123354477289839,2.355504961803169,0.0,4.0505184918921974e-06,0.40964817751142596
267.5,0.15579166666666666,1.408999992367291,0.9096793952790373,2.3554365360577068,0.0,3.895886447606114e-06,0.505190892274898
268.0,0.1559333333333333,1.4089999926587873,0.9111799476598615,2.35607231702227,0.0,3.807622824687942e-06,0.546356299015986
268.5,0.156075,1.4089999929391512,0.9090792480320433,2.356216920724453,0.0,4.1155619603255005e-06,0.5614867677921055
269.0,0.15621666666666667,1.408999993208808,0.9094530756146891,2.3568816729724924,0.0,4.365889984310062e-06,0.6175325657734183
269.5,0.15635833333333332,1.4089999934681665,0.910256457787153,2.3573343450681516,0.0,4.242473984115377e-06,0.6387890681138181
270.0,0.15649999999999997,1.40899999371762,0.9070645256747076,2.3575096451976494,0.0,4.947613845282211e-06,0.6460425592188803
270.5,0.15664166666666668,1.4089999939575468,0.9097771351191537,2.3584747768668928,0.0,5.071003914293156e-06,0.6656181406206622
271.0,0.15678333333333333,1.4089999941883107,0.9112224443581076,2.3585749387061568,0.0,5.0595918188133985e-06,0.6633983118148253
271.5,0.15692499999999998,1.4089999944102616,0.9112887655724698,2.3583074871655376,0.0,5.035725594832844e-06,0.7113192764139575
272.0,0.15706666666666666,1.4089999946237362,0.9107497285152228,2.358096262434747,0.0,4.797636021203696e-06,0.6918124095381101
272.5,0.15720833333333334,1.408999994829058,0.9105444069646252,2.3580828278354855,0.0,4.301564018285363e-06,0.6764071834936493
273.0,0.15735,1.4089999950265384,0.909200439624062,2.3581423881216836,0.0,4.273490239313994e-06,0.6819142545246885
273.5,0.15749166666666664,1.408999995216477,0.9099108157917235,2.3585478942269265,0.0,4.334148620766581e-06,0.7124912733859239
274.0,0.15763333333333332,1.4089999953991617,0.9096679598514948,2.3587092921289985,0.0,4.342234176617205e-06,0.7217768012517752
274.5,0.157775,1.4089999955748695,0.9108022180701644,2.3589174411063905,0.0,4.356812015669709e-06,0.7273600340655517
275.0,0.15791666666666665,1.408999995743867,0.9087415987223545,2.3588146960097243,0.0,4.552857668775367e-06,0.7220305938781986
275.5,0.15805833333333333,1.4089999959064106,0.9105593663797562,2.3592721216972445,0.0,4.51317684173012e-06,0.7143912423503878
276.0,0.1582,1.4089999960627464,0.9112488338480095,2.3591949958001517,0.0,4.422059352414765e-06,0.7216115752915676
276.5,0.15834166666666666,1.4089999962131117,0.9109852391114921,2.3589777333196134,0.0,4.428614153287131e-06,0.7243709263442262
277.0,0.1584833333333333,1.4089999963577344,0.9102201833506891,2.35888981179472,0.0,4.437655475811797e-06,0.7222010544039111
277.5,0.158625,1.408999996496834,0.9117859704403023,2.359031514086629,0.0,4.367257995877928e-06,0.723279412612979
278.0,0.15876666666666667,1.4089999966306215,0.9080966777391253,2.3587669990090006,0.0,4.058349531301756e-06,0.6385134938606973
278.5,0.15890833333333332,1.4089999967592994,0.9104734555402769,2.3595070080707474,0.0,2.6320742102877104e-06,0.4889230123820746
279.0,0.15905,1.408999996883063,0.9111944547731472,2.3595136853727934,0.0,2.026595156213065e-06,0.4291495572537619
279.5,0.15919166666666668,1.4089999970021003,0.9115978789388245,2.3593552064668044,0.0,1.9108749716606376e-06,0.38871062042524734
280.0,0.15933333333333333,1.4089999971165914,0.9119603848011295,2.359145546785041,0.0,1.8077234930149614e-06,0.3740202834227179
280.5,0.15947499999999998,1.40899999722671,0.9100280660627942,2.358905506649637,0.0,1.7831147735730684e-06,0.3534739895025286
281.0,0.15961666666666666,1.408999997332623,0.9098169535011386,2.359220890533625,0.0,1.8004408937758978e-06,0.3567755284816282
281.5,0.15975833333333334,1.4089999974344913,0.911473671606923,2.359543528216289,0.0,1.766634993405242e-06,0.35090928356970663
282.0,0.1599,1.4089999975324692,0.9118529376813136,2.3594002265298117,0.0,1.798238996221912e-06,0.3792527837610282
282.5,0.16004166666666667,1.4089999976267051,0.9115559067155303,2.359208778336936,0.0,1.6767080621198765e-06,0.33822595546396833
283.0,0.16018333333333334,1.4089999977173422,0.9079278794673147,2.3591497865235564,0.0,1.741102171337242e-06,0.20975052310166323
283.5,0.160325,1.4089999978045178,0.9101928239839454,2.3600373028413855,0.0,1.5313698385847392e-06,0.11860228934390138
284.0,0.16046666666666665,1.4089999978883643,0.9125580129258527,2.360190014492648,0.0,1.5033522625436695e-06,0.07167268478538423
284.5,0.16060833333333333,1.4089999979690084,0.9133801444480609,2.3597327851051935,0.0,1.6940911994802522e-06,0.1672330507336346
285.0,0.16075,1.4089999980465728,0.9121951701428899,2.3591797725928223,0.0,1.7577309577717536e-06,0.22502270209908243
285.5,0.16089166666666666,1.408999998121175,0.907979914095843,2.359057145632555,0.0,1.9238468490032976e-06,0.15167375464419366
286.0,0.1610333333333333,1.408999998192928,0.9108484579360425,2.360041951263789,0.0,1.9254231050266075e-06,0.13125436809621907
286.5,0.161175,1.4089999982619408,0.9100720257145404,2.3601199482374238,0.0,1.8609650289173858e-06,0.0912724807173471
287.0,0.16131666666666666,1.408999998328318,0.9048811422232728,2.360396341140074,0.0,2.53853337667226e-06,0.11929497679385212
287.5,0.16145833333333331,1.4089999983921602,0.9080901796593307,2.3619449349601904,0.0,2.6512405636781113e-06,0.2226685869059745
288.0,0.1616,1.4089999984535642,0.9059312635034047,2.362385666713333,0.0,3.0890745793149726e-06,0.2950933223934068
288.5,0.16174166666666667,1.4089999985126231,0.9052210052421311,2.363299671720933,0.0,3.666483502149932e-06,0.40338307702894743
289.0,0.16188333333333332,1.4089999985694266,0.906168426423439,2.364224682790571,0.0,4.031733149205612e-06,0.47675142946514254
289.5,0.16202499999999997,1.408999998624061,0.9104313011263813,2.3647400484818664,0.0,4.0353521450250034e-06,0.4604719295909722
290.0,0.16216666666666665,1.4089999986766086,0.9092328064608868,2.364092813212739,0.0,3.832881244985445e-06,0.465275887628931
290.5,0.16230833333333333,1.4089999987271495,0.9098768064541665,2.3638984547292607,0.0,3.83200758092869e-06,0.4692969782868901
291.0,0.16244999999999998,1.4089999987757602,0.9131122941702048,2.3635996438067086,0.0,4.039852603976925e-06,0.4465600647017037
291.5,0.16259166666666666,1.4089999988225144,0.9143715076158851,2.362564040398,0.0,4.47384152353062e-06,0.4878601460707958
292.0,0.16273333333333334,1.408999998867483,0.9115523399432561,2.3614406537327084,0.0,4.515723180923497e-06,0.4929319514208674
292.5,0.162875,1.4089999989107345,0.9098247191619607,2.3612759298966526,0.0,4.513876493963718e-06,0.49109239210931044
293.0,0.16301666666666664,1.408999998952334,0.9068901372781498,2.3615989073497863,0.0,4.756915988283745e-06,0.48290164321838974
293.5,0.16315833333333332,1.408999998992345,0.9065346500322278,2.362614487922881,0.0,5.069053470330535e-06,0.5131147749341838
294.0,0.1633,1.4089999990308277,0.908576433610791,2.363530803639579,0.0,5.116494465223278e-06,0.5216378677864256
294.5,0.16344166666666665,1.4089999990678408,0.9095081204644554,2.3637634893975874,0.0,5.1022086553152815e-06,0.5298323118189029
295.0,0.16358333333333333,1.4089999991034403,0.9093673871190109,2.36373208766139,0.0,5.074062363071166e-06,0.5366330537675665
295.5,0.163725,1.4089999991376803,0.9110306674475782,2.3637609353915816,0.0,5.094600271648671e-06,0.5300421387951778
296.0,0.16386666666666666,1.4089999991706126,0.9082869490390634,2.3633828958116654,0.0,5.116813005057521e-06,0.512597523028298
296.5,0.1640083333333333,1.4089999992022872,0.9083166234609749,2.363792107272125,0.0,5.143200778440247e-06,0.5180504023949986
297.0,0.16415,1.4089999992327522,0.9098761866286196,2.364128679779795,0.0,5.138930073405032e-06,0.515793181137302
297.5,0.16429166666666667,1.4089999992620537,0.9103253277432689,2.3640217621032673,0.0,5.043642703594426e-06,0.5420791968523703
298.0,0.16443333333333332,1.4089999992902362,0.9114848713230801,2.363841809831382,0.0,5.040714060127874e-06,0.5526302263910017
298.5,0.16457499999999997,1.4089999993173423,0.910674598717293,2.363424694721986,0.0,5.048156674631606e-06,0.5535864717486831
299.0,0.16471666666666668,1.4089999993434132,0.9088182024623953,2.363315268080818,0.0,5.026097609967144e-06,0.5415855329454289
299.5,0.16485833333333333,1.4089999993684885,0.90920288356902,2.3637143852354243,0.0,4.948141823295882e-06,0.5329699032885984
300.0,0.16499999999999998,1.4089999993926061,0.9066343215506006,2.3639534807657925,0.0,5.049692241407137e-06,0.530821642473981
300.5,0.16514166666666666,1.4089999994158027,0.9040536983845627,2.3648094722776944,0.0,5.811658835876273e-06,0.5605736810675226
301.0,0.16528333333333334,1.4089999994381135,0.9071900536818897,2.366159589050477,0.0,5.9351741682621455e-06,0.5721160353780668
301.5,0.165425,1.408999999459572,0.9074581884737308,2.366462155887474,0.0,5.908697236127213e-06,0.5696571731727046
302.0,0.16556666666666664,1.4089999994802114,0.9082871383839578,2.366653771931715,0.0,5.757388235094634e-06,0.5598742171933303
302.5,0.16570833333333332,1.4089999995000624,0.9046534885499357,2.366615777477286,0.0,6.113849041163096e-06,0.5732649763183901
303.0,0.16585,1.408999999519155,0.9054799936493572,2.3675194455949247,0.0,6.401434021312359e-06,0.6084901050376167
303.5,0.16599166666666665,1.4089999995375189,0.9053978721574051,2.368048839993835,0.0,6.674124554970707e-06,0.6282392007611455
304.0,0.16613333333333333,1.4089999995551812,0.9048005164582715,2.368509263952698,0.0,6.701235762519838e-06,0.6227097710809832
304.5,0.166275,1.408999999572169,0.9016937632035468,2.3690445977619636,0.0,7.281007187141394e-06,0.6262518970148927
305.0,0.16641666666666666,1.408999999588508,0.9039655911814286,2.3702718232232027,0.0,7.354877336471501e-06,0.6764743659580957
305.5,0.1665583333333333,1.408999999604223,0.9075385916310439,2.3706946418982935,0.0,7.363653474175478e-06,0.6741096153353613
306.0,0.1667,1.4089999996193379,0.9082484232290421,2.3701495156201133,0.0,7.171727216153528e-06,0.667327546359278
306.5,0.16684166666666667,1.4089999996338756,0.906593532411552,2.3695551672481674,0.0,7.1182569228873275e-06,0.704592862323928
307.0,0.16698333333333332,1.408999999647858,0.906901256088924,2.3695171701921605,0.0,6.898261098354096e-06,0.7198333401320145
307.5,0.167125,1.4089999996613063,0.9085613217004307,2.369427772824964,0.0,6.905021587068575e-06,0.7221045542640898
308.0,0.16726666666666667,1.408999999674241,0.9023135102859473,2.3689569509454156,0.0,7.625645131188268e-06,0.6636868403278474
308.5,0.16740833333333333,1.408999999686682,0.904445235205898,2.370173805958701,0.0,7.749711459652107e-06,0.676312879600544
309.0,0.16754999999999998,1.4089999996986478,0.9068196295711136,2.3706239805398113,0.0,7.701084769650527e-06,0.7002089463052176
309.5,0.16769166666666666,1.4089999997101565,0.9082457728804149,2.3704028383561435,0.0,7.543325202197243e-06,0.6952489435200333
310.0,0.16783333333333333,1.4089999997212257,0.9109516350741528,2.369886123180661,0.0,7.734344366464527e-06,0.6855158561022906
310.5,0.16797499999999999,1.4089999997318723,0.911119372849179,2.368812088543068,0.0,7.895938633263708e-06,0.6977128891693393
311.0,0.16811666666666666,1.408999999742112,0.9095071504184856,2.3679332563013835,0.0,7.27158016137383e-06,0.6651600652192924
311.5,0.16825833333333334,1.4089999997519609,0.9086387448309835,2.3676577372562693,0.0,6.186987248039596e-06,0.6387139377187133
312.0,0.1684,1.4089999997614335,0.9091388137724621,2.3676753052711463,0.0,5.861282084537841e-06,0.6307357183117686
312.5,0.16854166666666665,1.4089999997705445,0.9066991372005883,2.3675818217644227,0.0,5.762367254834749e-06,0.6348140157138753
313.0,0.16868333333333332,1.4089999997793075,0.9064510752449113,2.3681396746137953,0.0,5.78329926158517e-06,0.6353692309375922
313.5,0.168825,1.4089999997877358,0.908193563379039,2.3686645649736056,0.0,5.761912214393194e-06,0.6375799954269933
314.0,0.16896666666666665,1.4089999997958422,0.9111319980965515,2.368662357837461,0.0,6.0484015066739085e-06,0.6272792818705099
314.5,0.1691083333333333,1.408999999803639,0.9083200824028782,2.3679397556461548,0.0,5.973535507907057e-06,0.615039693229525
315.0,0.16925,1.4089999998111382,0.9071021278400382,2.3680901950276105,0.0,5.904689749753824e-06,0.606703235548419
315.5,0.16939166666666666,1.408999999818351,0.9069589168379313,2.3685347199046047,0.0,5.6056997930784005e-06,0.6120699729032621
316.0,0.1695333333333333,1.4089999998252882,0.9091484103752773,2.3689430088987846,0.0,5.658487822287525e-06,0.6026162171506033
316.5,0.169675,1.4089999998319604,0.9074572402041872,2.368735710940419,0.0,5.6424401135890645e-06,0.5986113952846057
317.0,0.16981666666666667,1.408999999838378,0.9095800362139654,2.3690143852503702,0.0,5.6087282129394904e-06,0.5791826965519541
317.5,0.16995833333333332,1.4089999998445504,0.9057289210846888,2.368720758793139,0.0,5.4720317114868794e-06,0.5296513055001191
