metabolite,local_sample_id,intensity_norm,log1p_intensity_norm,median_norm_factor,subject_id,time_hr
lactate,SM-AGUN5,461391.6438117631,13.042004681403892,2.0250063314566247,,
lactate,SM-AGUND,2085180.4892578674,14.550366454634435,1.6550466579649725,,
lactate,SM-AGUNH,477634.51026739815,13.076603189777748,0.7225315436415941,,
lactate,SM-AHF2E,498401.9226889041,13.119164110581252,1.4379900385082438,,
lactate,SM-AHUNW,576326.5706900961,13.26443147714472,1.0665289980713408,,
lactate,SM-AHUO1,389342.4315887789,12.87221709066578,1.1096504386563026,,
lactate,SM-AI38G,324547.511776526,12.690190300952798,1.655911632346925,,
lactate,SM-AIG54,685511.140178308,13.43792148778875,1.4523906930834518,,
lactate,SM-AIG5S,340922.2403005532,12.739412629168543,1.0972472774736515,,
lactate,SM-AIG6P,430018.799705583,12.971586532436605,1.0004818400836402,,
lactate,SM-AIG8M,741296.7010406624,13.516157579386343,0.7840018702148799,,
lactate,SM-AIRV5,486787.6620632657,13.095585349075026,0.6820037274421564,,
lactate,SM-AJC3J,496550.44880085037,13.115442380061314,1.5565850395797212,,
lactate,SM-AJDM5,337537.40585276583,12.729434577939854,0.7537238705655452,,
lactate,SM-AK8KS,319643.1202467456,12.674963531677957,1.0116563739910256,,
lactate,SM-AK8LH,530394.947082097,13.181379076576663,0.8272194190645029,,
lactate,SM-AKTXS,664550.2408205626,13.40686726600681,1.452917989778756,,
lactate,SM-AKTY5,6565287.197076313,15.697306963777026,0.9791497016098134,,
lactate,SM-AKTYH,348714.7538569733,12.762012410470206,0.8273466975771626,,
lactate,SM-AKTYL,550270.9904483475,13.218167963057843,1.027542810387485,,
lactate,SM-AKTYX,459891.0868476502,13.038747147134389,0.8506100926665497,,
lactate,SM-AKTZI,595505.1704761563,13.297167029564541,0.7239030345535187,,
lactate,SM-AM1I6,507306.63432383264,13.136872872374788,0.7195963452884222,,
lactate,SM-AMR2U,798847.2695948659,13.590926306333156,1.3137817952764086,,
lactate,SM-AMR37,403915.5651874007,12.908963613801356,2.1295019903502106,,
lactate,SM-AMR3J,460028.6999277239,13.039046331441313,1.1374659887137728,,
lactate,SM-AN5FR,813407.2686140256,13.608988437899075,1.2314274025442715,,
lactate,SM-AN5FZ,384982.5,12.860955755208671,0.6732280038703058,,
lactate,SM-APDWQ,399286.92385573767,12.897438049307569,1.0242985070749968,,
