t_hr,M,H,Acetate_model,Butyrate_model,q,U
298.9830508474576,0.9840922639352938,0.9975065154973861,76.12153380634685,46.0198519351302,0.0,1.0
313.22033898305085,0.9840922639352938,0.9976595102003295,79.90868826428473,49.67066073260928,0.0,1.0
327.45762711864404,0.9840922639352938,0.9977919536934786,83.65559098618141,53.244868131148884,0.0,1.0
341.6949152542373,0.9840922639352938,0.9978079669408244,85.33397944869853,52.96245944272449,0.0,0.0
355.9322033898305,0.9840922639352938,0.9976457702326931,83.97351582038512,47.07596078879653,0.0,0.0
370.1694915254237,0.9840922639352938,0.9974683783142252,82.62722424404456,41.32444431413803,0.0,0.0
384.4067796610169,0.9840922639352938,0.9972654874117206,81.29550921709833,35.736920301723316,0.0,0.0
398.64406779661016,0.9840922639352938,0.9970380958839314,79.97879867578813,30.351278783797934,0.0,0.0
412.88135593220335,0.9840922639352938,0.9967808815206864,78.67754170136878,25.217415266150653,0.0,0.0
427.1186440677966,0.9840922639352938,0.9964907423752261,77.39220095308107,20.40107789080261,0.0,0.0
441.3559322033898,0.9840922639352938,0.9961728656368041,76.12323472917134,15.98759186306667,0.0,0.0
455.59322033898303,0.9840922639352938,0.9958337227144782,74.87106213745545,12.082491309681414,0.0,0.0
469.8305084745763,0.9840922639352938,0.9954901631018894,73.63600823104987,8.80184947652275,0.0,0.0
484.06779661016947,0.9840922639352938,0.9951652101662017,72.41823970078867,6.241495305431771,0.0,0.0
498.3050847457627,0.9840922639352938,0.9948859943967104,71.2177316088312,4.424916961273036,0.0,0.0
512.542372881356,0.9840922639352938,0.9946597276082346,70.03431536788233,3.265805436775471,0.0,0.0
526.7796610169491,0.9840922639352938,0.9944797880411376,68.86780002783144,2.5949670143157624,0.0,0.0
541.0169491525423,0.9840922639352938,0.9943400613475227,67.71807997439605,2.234305481922375,0.0,0.0
555.2542372881355,0.9840922639352938,0.9942237186466146,66.58516717406218,2.0493493448660547,0.0,0.0
569.4915254237288,0.9840922639352938,0.9941140657001384,65.46916864204852,1.957043822090033,0.0,0.0
583.728813559322,0.9840922639352938,0.9940131790873579,64.37025114071032,1.911674607235277,0.0,0.0
597.9661016949152,0.9840922639352938,0.9939115182386601,63.288612315831806,1.8895908268462454,0.0,0.0
612.2033898305084,0.9840922639352938,0.9938146668144169,62.2244639629144,1.8789390462061895,0.0,0.0
626.4406779661017,0.9840922639352938,0.9937127706443829,61.17802110220117,1.8738717258727302,0.0,0.0
640.6779661016949,0.9840922639352938,0.9936116025509317,60.14949721703874,1.871526546603987,0.0,0.0
654.9152542372881,0.9840922639352938,0.993509183448789,59.13910022339436,1.870507584452714,0.0,0.0
669.1525423728813,0.9840922639352938,0.9934066716293438,58.147030657660906,1.870135276669742,0.0,0.0
683.3898305084746,0.9840922639352938,0.9933006465234765,57.17347990492051,1.8700790046137772,0.0,0.0
697.6271186440678,0.9840922639352938,0.9931952862574877,56.218629347508234,1.870177994299872,0.0,0.0
711.864406779661,0.9840922639352938,0.9930877363499249,55.28264881774282,1.870353981394454,0.0,0.0
726.1016949152543,0.9840922639352938,0.9929809214093981,54.36569599463415,1.870568874843533,0.0,0.0
740.3389830508474,0.9840922639352938,0.992869817693354,53.46791498602394,1.8708040267623045,0.0,0.0
754.5762711864406,0.9840922639352938,0.9927577678108592,52.58943592246523,1.871050325509572,0.0,0.0
768.8135593220338,0.9840922639352938,0.9926456418334005,51.73037368635075,1.8713032403329455,0.0,0.0
783.0508474576271,0.9840922639352938,0.9925356493584374,50.89082715145098,1.871560480338926,0.0,0.0
797.2881355932203,0.9840922639352938,0.9924226549188819,50.070878026852604,1.8718207727869713,0.0,0.0
811.5254237288135,0.9840922639352938,0.9923060869155348,49.270590454854265,1.8720833965237067,0.0,0.0
825.7627118644067,0.9840922639352938,0.9921949068821078,48.49001044000211,1.8723479541689778,0.0,0.0
840.0,0.9840922639352938,0.9920787276599804,47.72918013612379,1.8726439380307227,0.0,1.0
