subject_id,success,cost,RMSE,NRMSE,r_max,K_M,c,d,g,u,p_low,p_high,H_on,H_off,tau_q,alpha,p_gap,H_band
3,True,18.258841849011233,2.467038835595637,0.5764636362519144,0.17634121057218993,1.7144238727787608,0.04640416399889725,0.19642730021788765,0.1467064760668388,0.5634347656523626,0.5844025975841091,3.3539268967691998,0.5089857973718471,0.94725,1.7087480428623918,1.1734570807489084,2.7695242991850906,0.4382642026281529
38,True,294.37638463617054,9.905829674761735,0.608569739146151,0.5081937052583112,1.9996945915445747,0.04252445360546922,0.19998959884835682,0.6876356570072106,0.5000073534829378,0.799957119233911,3.4975187324922627,0.5274613199208524,0.6544287272181188,15.96954679975574,1.996873202051216,2.697561613258352,0.1269674072972664
12,True,11.795660464268977,1.9828985908066485,0.6343086811014367,0.59999999999092,1.9924789290012748,0.020000000000000146,0.19956250924468089,0.10972762192966172,0.5061142743327346,0.7999072028981581,3.9937934384360316,0.5670993647080869,0.9233149133553944,23.999680528227056,1.9981118849437398,3.1938862355378737,0.35621554864730753
9,True,231.91938672133176,8.792409353552866,0.6660101492632732,0.25530753540320594,1.8669142677502224,0.10480427263490212,0.194167603548324,0.10000913295644696,0.5044025267042485,0.7483621125060488,2.5226697954735635,0.5273775547256933,0.9472499999999999,4.035643290821417,1.6596821555273562,1.7743076829675148,0.41987244527430667
10,True,126.60580313430607,6.496301592298654,0.6757966677668257,0.46817088983898664,1.9977131872204266,0.07797424254684834,0.19999969014291302,0.10000000000000002,0.5000000000000117,0.7999767906801372,3.938264224614851,0.7277637989415151,0.7718298358120299,23.99273125425308,1.9400745708199323,3.138287433934714,0.0440660368705148
19,True,108.34667354692277,6.009622105338592,0.7155672395044012,0.585359787135365,1.9999999998204248,0.020323461464544786,0.19999999999999984,0.10000000000000002,0.5000000000000001,0.7999999999997183,3.930757155728762,0.5551341756021928,0.712246561416828,20.9376868027074,1.999999353256685,3.130757155729044,0.15711238581463516
5,True,133.02655044576176,6.6589926777194,0.766549034066684,0.35701599907687676,1.9999999999947273,0.07772619449235903,0.19999999999999726,0.10000000000000002,0.5000000000000075,0.7999999999999893,2.4803033639202137,0.5295062176579413,0.6955357801892417,3.460056041206853,1.9999984651266034,1.6803033639202245,0.1660295625313004
35,True,69.041401271214,4.797270101186507,0.8138448252143228,0.38299263930368527,1.9999993142890296,0.11018291439125201,0.19999994765877996,0.10000000082488886,0.5000000000000001,0.7999999998936913,2.9650742008661095,0.5808657907965367,0.738370570742157,5.47393948633708,1.9958591888844115,2.165074200972418,0.1575047799456203
4,True,101.28835564061234,5.810575291099621,0.8416865652137806,0.5997420786200134,1.9999999999998967,0.1869389399463178,0.19999999999999998,0.10000000000000002,0.5000000000000001,0.7999999999999999,2.846238982582963,0.5418660560040086,0.6618679455133792,4.3912132283756895,1.99999999852742,2.046238982582963,0.12000188950937063
21,True,169.2638450986001,7.511410100609163,1.0369945121189341,0.49057922345507743,1.9999381205584217,0.06542619699280866,0.19991665487894242,0.10000017388134533,0.5000000000142291,0.7999937395559215,3.9975805523528254,0.74692132483708,0.8009572838229009,11.908142199515396,1.9747386087261678,3.197586812796904,0.05403595898582092
8,True,120.7660504339202,6.344710406680519,1.2399489889806514,0.19935871155424154,1.9815439686110443,0.042645710777284816,0.19865719303144538,0.10261381311067522,0.5008979327816372,0.7947593294407552,3.3397937827500277,0.5571056499950914,0.9017254116630228,17.985735169956577,1.9057297727499516,2.5450344533092726,0.3446197616679314
1,True,180.18394913173853,7.749923636865474,1.5602324778288625,0.5999984766538332,1.9999999991310426,0.24864586554245025,0.1999999999965694,0.10000000000002938,0.5000000000004563,0.7999999999685934,2.431950816019884,0.5319291597572883,0.94725,3.6690300353857284,1.9999999231429795,1.6319508160512908,0.41532084024271176
